estacion_sk,estacion,altitud,latitud,longitud,ubicacion
181,HACIENDA MANZANARES,2900,5.0545,-75.4113,Hacienda Manzanares (parte alta cuenca Q. Manizales)
29,POSGRADOS,2179,5.0562,-75.4928,Campus Palogrande, UN - Bloque I
182,ALTO DE LA COCA,2930,5.0815,-75.4182,Alto de La Coca - Reserva Río Blanco
179,EL MIRADOR,2570,5.0731,-75.4384,El Mirador - Reserva Río Blanco
178,FINCA LA PAZ,2502,5.0344,-75.4192,Finca La Paz Km 9 vía al Magdalena
169,PERALONSO-CHEC,2094,5.0706,-75.4994,Subestación Peralonso CHEC
31,YARUMOS,2195,5.0631,-75.4813,Centro de Bioinformática y Biología Computacional - BIOS
177,ANTENAS-ALTO DEL GUAMO,2410,5.0965,-75.4789,Red Sonora - Alto del Guamo
18,ALCÁZARES,2057,5.0667,-75.5278,Instituto de Valoración de Manizales INVAMA
26,OBSERVATORIO VULCANOLÓGICO,2226,5.0710,-75.5243,Observatorio Vulcanológico y Sismológico - Barrio Chipre
24,LA NUBIA,2091,5.0297,-75.4716,Campus La Nubia Universidad Nacional de Colombia Bloque W
22,EL CARMEN,2112,5.0615,-75.5198,Centro Integral de Servicios Comunitarios-El Carmen
19,ARANJUEZ,1915,5.0428,-75.5004,Institución Educativa Aranjuez
27,LA PALMA,1967,5.0959,-75.5295,Hospital Geriátrico San Isidro
25,HOSPITAL DE CALDAS,2183,5.0629,-75.5005,Hospital de Caldas
28,MILAN- PLANTA NIZA,2150,5.0514,-75.4765,Planta de Tratamiento Niza - Aguas de Manizales S.A E.S.P
21,CHEC-URIBE,1940,5.0483,-75.5150,Sede Administrativa Estación Uribe CHEC S.A E.S.P
20,BOSQUES DEL NORTE,2126,5.0831,-75.4887,Institución Educativa Bosques del Norte
23,EMAS,2060,5.0806,-75.5078,Relleno Sanitario La Esmeralda -EMAS S.A E.S.P
76,LICEO ISABEL LA CATÓLICA,2150,5.0681,-75.5106,Colegio Isabel La Católica
247,MÓVIL GOBERNACIÓN,2155,5.0685,-75.5169,Gobernación de Caldas (terraza antiguo Edificio de La Licorera)
224,GOBERNACIÓN DE CALDAS - JDEGER,2155,5.0687,-75.5173,Gobernación de Caldas antiguo edificio de la Licorera
